scene_key,family,registry_owner,provider_owner,canonical_entry,native_fallback,menu_binding,action_binding,status
projects.list,projects,scene_registry,construction.projects_list_provider.v1,/s/projects.list,native menu/action,smart_construction_core.menu_sc_root,smart_construction_core.action_sc_project_list,frozen
projects.ledger,projects,scene_registry,construction.projects_ledger_provider.v1,/s/projects.ledger,native menu/action,smart_construction_core.menu_sc_project_project,smart_construction_core.action_sc_project_kanban_lifecycle,frozen
projects.detail,projects,scene_registry,construction.projects_detail_provider.v1,/s/projects.detail,shared project ledger native menu remains available while detail route no longer co-owns the native action,smart_construction_core.menu_sc_project_project,,frozen
projects.intake,projects,scene_registry,construction.project_intake_provider.v1,/s/projects.intake,native create/form action,smart_construction_core.menu_sc_project_initiation,smart_construction_core.action_project_initiation,frozen
task.center,tasks,scene_registry,construction.task_center_provider.v1,/s/task.center,canonical scene route plus direct generic task action,,project.action_view_all_task,frozen
task.board,tasks,scene_registry,construction.task_board_provider.v1,/s/task.board,dedicated board-style compat carrier without native authority,,,frozen
finance.center,finance_center,scene_registry,construction.finance_center_provider.v1,/s/finance.center,native root finance menu/action,smart_construction_core.menu_sc_finance_center,smart_construction_core.action_sc_finance_dashboard,frozen
finance.workspace,finance_center,scene_registry,construction.finance_workspace_provider.v1,/s/finance.workspace,shared finance root menu remains available while workspace route no longer co-owns the root action,smart_construction_core.menu_sc_finance_center,,frozen
finance.payment_requests,payment_entry,scene_registry,construction.payment_entry_workbench_provider.v1,/s/finance.payment_requests,generic payment request native list,smart_construction_core.menu_payment_request,smart_construction_core.action_payment_request_my,frozen
payments.approval,payment_approval,scene_registry,construction.approval_workbench_provider.v1,/s/payments.approval,shared payment request source menu remains available separately,smart_construction_core.menu_sc_tier_review_my_payment_request,smart_construction_core.action_sc_tier_review_my_payment_request,frozen
contract.center,contracts,scene_registry,construction.contract_center_provider.v1,,action,smart_construction_core.menu_sc_contract_center,smart_construction_core.action_construction_contract_my,frozen
contracts.workspace,contracts,scene_registry,construction.contracts_workspace_provider.v1,/s/contracts.workspace,action,smart_construction_core.menu_sc_contract_center,smart_construction_core.action_construction_contract_my,frozen
contracts.monitor,contracts,scene_registry,provider_tbd,/s/contracts.monitor,menu_only,smart_construction_core.menu_sc_contract_center,,frozen
enterprise.company,enterprise_bootstrap,scene_registry,construction.enterprise_bootstrap_provider.company.v1,/s/enterprise.company,action,smart_enterprise_base.menu_enterprise_company,smart_enterprise_base.action_enterprise_company,frozen
enterprise.department,enterprise_bootstrap,scene_registry,construction.enterprise_bootstrap_provider.department.v1,/s/enterprise.department,action,smart_enterprise_base.menu_enterprise_department,smart_enterprise_base.action_enterprise_department,frozen
enterprise.user,enterprise_bootstrap,scene_registry,construction.enterprise_bootstrap_provider.user.v1,/s/enterprise.user,action,smart_enterprise_base.menu_enterprise_user,smart_enterprise_base.action_enterprise_user,frozen
enterprise.post,enterprise_bootstrap,scene_registry,construction.enterprise_bootstrap_provider.post.v1,/s/enterprise.post,action,smart_enterprise_base.menu_enterprise_post,smart_enterprise_base.action_enterprise_post,frozen
