scene_key,provider_key,provider_path,provider_registered,explicit_fallback_present,completeness_status
config.project_cost_code,,,false,true,fallback_only
contract.center,construction.contract_center_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/contract_center_provider.py,true,true,provider_registered
contracts.execution,,,false,true,fallback_only
contracts.monitor,,,false,true,fallback_only
contracts.workspace,construction.contracts_workspace_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/contracts_workspace_provider.py,true,true,provider_registered
cost.analysis,,,false,true,fallback_only
cost.budget_alloc,,,false,true,fallback_only
cost.control,,,false,true,fallback_only
cost.cost_compare,,,false,true,fallback_only
cost.forecast,,,false,true,fallback_only
cost.profit_compare,,,false,true,fallback_only
cost.project_boq,,,false,true,fallback_only
cost.project_budget,,,false,true,fallback_only
cost.project_cost_ledger,,,false,true,fallback_only
cost.project_progress,,,false,true,fallback_only
cost.warning.center,,,false,true,fallback_only
data.dictionary,,,false,true,fallback_only
delivery.command,,,false,true,fallback_only
enterprise.company,construction.enterprise_bootstrap_provider.company.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/enterprise_bootstrap_provider.py,true,true,provider_registered
enterprise.department,construction.enterprise_bootstrap_provider.department.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/enterprise_bootstrap_provider.py,true,true,provider_registered
enterprise.post,construction.enterprise_bootstrap_provider.post.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/enterprise_bootstrap_provider.py,true,true,provider_registered
enterprise.user,construction.enterprise_bootstrap_provider.user.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/enterprise_bootstrap_provider.py,true,true,provider_registered
finance.center,construction.finance_center_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/finance_center_provider.py,true,true,provider_registered
finance.operating_metrics,,,false,true,fallback_only
finance.payment_ledger,,,false,true,fallback_only
finance.payment_requests,construction.payment_entry_workbench_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/payment_entry_workbench_provider.py,true,true,provider_registered
finance.settlement_orders,,,false,true,fallback_only
finance.treasury_ledger,,,false,true,fallback_only
finance.workspace,construction.finance_workspace_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/finance_workspace_provider.py,true,true,provider_registered
my_work.workspace,,,false,true,fallback_only
operation.overview,,,false,true,fallback_only
payments.approval,construction.approval_workbench_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/approval_workbench_provider.py,true,true,provider_registered
payments.collection.center,,,false,true,fallback_only
payments.risk.control,,,false,true,fallback_only
portal.capability_matrix,,,false,true,fallback_only
portal.dashboard,,,false,true,fallback_only
portal.lifecycle,,,false,true,fallback_only
portfolio.center,,,false,true,fallback_only
portfolio.monitor,,,false,true,fallback_only
project.dashboard,construction.project_dashboard.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/profiles/project_dashboard_scene_content.py,true,true,provider_registered
project.initiation,,,false,true,fallback_only
project.management,construction.project_management_dashboard.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/profiles/project_dashboard_scene_content.py,true,true,provider_registered
projects.dashboard,,,false,true,fallback_only
projects.dashboard_showcase,,,false,true,fallback_only
projects.detail,construction.projects_detail_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/projects_detail_provider.py,true,true,provider_registered
projects.execution,,,false,true,fallback_only
projects.intake,construction.project_intake_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/project_intake_provider.py,true,true,provider_registered
projects.ledger,construction.projects_ledger_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/projects_ledger_provider.py,true,true,provider_registered
projects.list,construction.projects_list_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/projects_list_provider.py,true,true,provider_registered
quality.center,,,false,true,fallback_only
resource.center,,,false,true,fallback_only
risk.center,,,false,true,fallback_only
risk.monitor,,,false,true,fallback_only
safety.center,,,false,true,fallback_only
scene.registry,construction.scene_registry.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/profiles/scene_registry_content.py,true,false,provider_registered
task.board,construction.task_board_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/task_board_provider.py,true,true,provider_registered
task.center,construction.task_center_provider.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/providers/task_center_provider.py,true,true,provider_registered
workspace.home,construction.workspace_home.v1,/mnt/e/sc-backend-odoo/addons/smart_construction_scene/profiles/workspace_home_scene_content.py,true,true,provider_registered
